"Name","SizeMB","GoVer","Module","Deps","CGO","Features","GitRev","VcsTime","Dir"
"advanced-cuda-service","21.7","1.24.5","command-line-arguments","18","Yes","HTTP/Gin, WebSocket, RabbitMQ, CUDA, Protobuf","-","-","archived-dead-code"
"agentic-cuda-parser","8.5","1.24.5","command-line-arguments","0","Yes","CUDA","-","-","archived-dead-code"
"agentic-gemma3-main","2.4","1.25.0","command-line-arguments","0","Yes","Minimal","-","-","archived-dead-code"
"agentic-gemma3-service","8.9","1.25.0","command-line-arguments","1","Yes","RabbitMQ","-","-","archived-dead-code"
"aggregator","9.6","1.25.0","legal-ai-production/cmd/aggregator","10","Yes","Redis, PostgreSQL","06c74ee8","2025-08-28T02:02:32Z","archived-dead-code"
"ai-enhanced-postgresql","26.8","1.24.5","command-line-arguments","19","Yes","HTTP/Gin, PostgreSQL, Protobuf","-","-","projects"
"ai-service","17.1","1.25.0","legal-ai-production/cmd/ai-service","6","Yes","gRPC, Protobuf","519c6b70","2025-09-04T02:49:40Z","archived-dead-code"
"aiserver-service","15.7","1.25.0","legal-ai-production/cmd/aiserver-service","8","Yes","gRPC, Protobuf","609b8d1f","2025-09-03T08:05:43Z","archived-dead-code"
"artifact-indexing-service","15.4","1.25.0","command-line-arguments","29","Yes","HTTP/Gin, PostgreSQL, Protobuf, MinIO","-","-","archived-dead-code"
"artifact-indexing","15.4","1.25.0","command-line-arguments","29","Yes","HTTP/Gin, PostgreSQL, Protobuf, MinIO","-","-","archived-dead-code"
"ast_graph_exporter","1.1","unknown","CLI","0","No","Minimal","-","-","snapshots"
"async-indexer","9.6","1.24.5","command-line-arguments","2","Yes","WebSocket","-","-","services"
"cache-smoketest","7.6","1.25.0","legal-ai-production/cmd/cache-smoketest","3","Yes","Redis","755ba4ab","2025-09-07T20:00:22Z","services"
"cl","2.7","1.25.0","command-line-arguments","0","Yes","Minimal","-","-","projects"
"cluster-http","25.3","1.24.5","microservice/cmd/cluster-service","17","Yes","HTTP/Gin, Protobuf","8d967770","2025-08-12T17:57:19Z","archived-dead-code"
"cluster-service","20.6","1.24.5","legal-ai-production/cmd/cluster-service","17","Yes","HTTP/Gin, Protobuf","2d54637b","2025-08-22T15:35:39Z","archived-dead-code"
