som_bmu_row,som_bmu_col,card_count,avg_reward,total_reward,cards_with_rewards
1,1,8,,0,0
1,2,6,,0,0
1,3,5,,0,0
1,4,3,,0,0
1,5,6,,0,0
1,6,6,,0,0
1,7,9,,0,0
1,8,11,,0,0
1,9,15,,0,0
1,10,8,,0,0
1,11,7,,0,0
1,12,6,,0,0
1,13,20,,0,0
1,14,15,,0,0
1,15,9,,0,0
1,16,15,,0,0
1,17,24,,0,0
1,18,30,,0,0
1,19,95,,0,0
2,1,17,,0,0
2,3,2,,0,0
2,4,4,,0,0
2,5,1,,0,0
2,6,1,,0,0
2,7,6,,0,0
2,8,8,,0,0
2,9,22,,0,0
2,10,27,,0,0
2,11,10,,0,0
2,12,3,,0,0
2,13,2,,0,0
2,14,1,,0,0
2,15,5,,0,0
2,16,2,,0,0
2,17,9,,0,0
2,18,14,,0,0
2,19,29,,0,0
3,1,14,,0,0
3,2,5,,0,0
3,3,9,,0,0
3,4,7,,0,0
3,5,7,,0,0
3,6,4,,0,0
3,7,10,,0,0
3,8,5,,0,0
3,9,17,,0,0
3,10,6,,0,0
3,11,7,,0,0
3,12,6,,0,0
3,13,8,,0,0
3,14,1,,0,0
3,15,6,,0,0
3,16,2,,0,0
3,17,7,,0,0
3,18,14,,0,0
3,19,24,,0,0
4,1,11,,0,0
4,2,16,,0,0
4,3,2,,0,0
4,4,12,,0,0
4,5,7,,0,0
4,6,11,,0,0
4,7,3,,0,0
4,8,5,,0,0
4,9,4,,0,0
4,10,4,,0,0
4,11,5,,0,0
4,14,1,,0,0
4,15,2,,0,0
4,16,10,,0,0
4,17,1,,0,0
4,18,6,,0,0
4,19,25,,0,0
5,1,15,,0,0
5,2,6,,0,0
5,3,13,,0,0
5,4,7,,0,0
5,5,11,,0,0
5,6,10,,0,0
5,7,6,,0,0
5,8,7,,0,0
5,9,2,,0,0
5,10,5,,0,0
5,11,2,,0,0
5,12,4,,0,0
5,13,5,,0,0
5,14,5,,0,0
5,15,5,,0,0
5,16,1,,0,0
5,17,5,,0,0
5,18,6,,0,0
5,19,21,,0,0
6,1,19,,0,0
6,2,7,,0,0
6,3,10,,0,0
6,4,14,,0,0
6,5,10,,0,0
6,6,5,,0,0
6,7,8,,0,0
6,8,3,,0,0
6,9,1,,0,0
6,10,6,,0,0
6,11,5,,0,0
6,12,3,,0,0
6,13,6,,0,0
6,14,11,,0,0
6,15,11,,0,0
6,16,4,,0,0
6,17,5,,0,0
6,18,7,,0,0
6,19,38,,0,0
7,1,11,,0,0
7,2,13,,0,0
7,3,7,,0,0
7,4,7,,0,0
7,5,11,,0,0
7,6,7,,0,0
7,7,7,,0,0
7,8,4,,0,0
7,9,5,,0,0
7,10,3,,0,0
7,11,10,,0,0
7,12,1,,0,0
7,13,6,,0,0
7,14,3,,0,0
7,15,6,,0,0
7,16,6,,0,0
7,17,13,,0,0
7,18,15,,0,0
7,19,15,,0,0
8,1,4,,0,0
8,2,8,,0,0
8,3,7,,0,0
8,4,7,,0,0
8,5,11,,0,0
8,6,3,,0,0
8,7,6,,0,0
8,8,3,,0,0
8,9,3,,0,0
8,10,3,,0,0
8,11,2,,0,0
8,12,14,,0,0
8,13,8,,0,0
8,14,18,,0,0
8,15,4,,0,0
8,16,15,,0,0
8,17,12,,0,0
8,18,19,,0,0
8,19,21,,0,0
9,1,14,,0,0
9,2,5,,0,0
9,3,6,,0,0
9,4,12,,0,0
9,5,6,,0,0
9,6,5,,0,0
9,7,4,,0,0
9,8,17,,0,0
9,9,3,,0,0
9,10,1,,0,0
9,11,3,,0,0
9,12,28,,0,0
9,13,11,,0,0
9,14,22,,0,0
9,15,19,,0,0
9,16,5,,0,0
9,17,15,,0,0
9,18,27,,0,0
9,19,70,,0,0
10,1,5,,0,0
10,2,14,,0,0
10,3,5,,0,0
10,4,3,,0,0
10,5,5,,0,0
10,6,10,,0,0
10,7,12,,0,0
10,8,27,,0,0
10,9,6,,0,0
10,10,4,,0,0
10,11,28,,0,0
10,12,28,,0,0
10,13,65,,0,0
10,14,36,,0,0
10,15,33,,0,0
10,16,18,,0,0
10,17,23,,0,0
10,18,28,,0,0
10,19,49,,0,0
11,1,6,,0,0
11,2,6,,0,0
11,3,4,,0,0
11,4,3,,0,0
11,5,8,,0,0
11,6,3,,0,0
11,7,2,,0,0
11,8,7,,0,0
11,9,7,,0,0
11,10,14,,0,0
11,11,14,,0,0
11,12,53,0.9900000000000001,5.94,1
11,13,19,,0,0
11,14,30,,0,0
11,15,26,,0,0
11,16,16,,0,0
11,17,9,,0,0
11,18,30,,0,0
11,19,37,,0,0
12,1,8,,0,0
12,2,3,,0,0
12,3,4,,0,0
12,4,5,,0,0
12,5,5,,0,0
12,6,5,,0,0
12,7,7,,0,0
12,8,7,,0,0
12,9,8,,0,0
12,10,7,,0,0
12,11,13,,0,0
12,12,14,,0,0
12,13,61,,0,0
12,14,60,,0,0
12,15,22,,0,0
12,16,30,,0,0
12,17,15,,0,0
12,18,17,,0,0
12,19,84,,0,0
13,1,3,,0,0
13,2,2,,0,0
13,3,5,,0,0
13,4,3,,0,0
13,5,5,,0,0
13,6,3,,0,0
13,7,3,,0,0
13,8,11,,0,0
13,9,6,,0,0
13,10,19,,0,0
13,11,14,,0,0
13,12,22,,0,0
13,13,35,,0,0
13,14,20,,0,0
13,15,41,,0,0
13,16,8,,0,0
13,17,13,,0,0
13,18,18,,0,0
13,19,52,,0,0
14,1,8,,0,0
14,2,7,,0,0
14,3,11,,0,0
14,4,3,,0,0
14,5,5,,0,0
14,6,9,,0,0
14,7,6,,0,0
14,8,7,,0,0
14,9,11,,0,0
14,10,9,,0,0
14,11,8,,0,0
14,12,21,,0,0
14,13,13,,0,0
14,14,30,,0,0
14,15,11,,0,0
14,16,13,,0,0
14,17,7,,0,0
14,18,16,,0,0
14,19,121,,0,0
15,1,6,,0,0
15,2,3,,0,0
15,3,6,,0,0
15,4,4,,0,0
15,5,14,,0,0
15,6,6,,0,0
15,7,5,,0,0
15,8,16,,0,0
15,9,23,,0,0
15,10,14,,0,0
15,11,13,,0,0
15,12,14,,0,0
15,13,2,,0,0
15,14,18,,0,0
15,15,13,,0,0
15,16,22,,0,0
15,18,23,,0,0
15,19,54,,0,0
16,1,7,,0,0
16,2,4,,0,0
16,3,4,,0,0
16,4,5,,0,0
16,5,2,,0,0
16,6,1,,0,0
16,7,3,,0,0
16,8,9,,0,0
16,9,18,,0,0
16,10,101,,0,0
16,11,26,,0,0
16,12,12,,0,0
16,13,18,,0,0
16,14,17,,0,0
16,15,43,,0,0
16,16,16,,0,0
16,17,3,,0,0
16,18,13,,0,0
16,19,43,,0,0
17,1,4,,0,0
17,2,4,,0,0
17,3,25,,0,0
17,4,2,,0,0
17,5,9,,0,0
17,6,5,,0,0
17,7,7,,0,0
17,8,14,,0,0
17,9,22,,0,0
17,10,30,,0,0
17,11,76,,0,0
17,12,7,,0,0
17,13,28,,0,0
17,14,54,,0,0
17,15,78,,0,0
17,16,14,,0,0
17,17,51,,0,0
17,18,20,,0,0
17,19,34,,0,0
18,1,11,,0,0
18,2,2,,0,0
18,3,25,,0,0
18,4,17,,0,0
18,5,12,,0,0
18,6,26,,0,0
18,7,19,,0,0
18,8,18,,0,0
18,9,17,,0,0
18,10,57,,0,0
18,11,40,,0,0
18,12,53,,0,0
18,13,53,,0,0
18,14,36,,0,0
18,15,24,,0,0
18,16,49,,0,0
18,17,20,,0,0
18,18,45,,0,0
18,19,56,,0,0
19,1,75,,0,0
19,2,48,,0,0
19,3,52,,0,0
19,4,58,,0,0
19,5,196,,0,0
19,6,170,,0,0
19,7,165,,0,0
19,8,183,,0,0
19,9,88,,0,0
19,10,64,,0,0
19,11,51,,0,0
19,12,127,,0,0
19,13,82,,0,0
19,14,76,,0,0
19,15,77,,0,0
19,16,49,,0,0
19,17,49,,0,0
19,18,196,,0,0
19,19,235,,0,0
