id,sourceRef,som_bmu_row,som_bmu_col,som_bmu_distance,cluster_size,cluster_avg_reward,reward_avg,reward_count,reward_rank
d705bfd010c76907,sveltekit-frontend/src/lib/server/cache/cache-config.ts,11,12,1.044574,53,0.9900000000000001,0.9900000000000001,6,1
,,,,,,,,0,2
,,,,,,,,0,3
000678ef52ca67b0,,17,14,0.977094,54,,,0,4
00116e85cfe0456e,,8,,0.979304,,,,0,5
0012bc7350ff2a70,,19,2,0.958532,48,,,0,6
001570455730d2d7,,19,11,0.862272,51,,,0,7
001f2d08e4459234,,8,4,0.954428,7,,,0,8
0024f386d46d7f23,docs\documents-atlas-index.md#chunk-1258,19,4,0.802876,58,,,0,9
00262e5f02b7c99d,,13,12,0.927101,22,,,0,10
002add0263b8e6c8,,17,,1.08591,,,,0,11
002aee21948f778f,,17,3,0.857048,25,,,0,12
002e5c7880802f89,,9,5,0.809509,6,,,0,13
002eef270abc533c,docs\documents-atlas-index.md#chunk-608,15,2,0.980389,3,,,0,14
002fbf452f355e62,,15,1,0.970826,6,,,0,15
00376eb299856fbe,docs\documents-atlas-index.md#chunk-623,12,13,0.946836,61,,,0,16
004b71ea087384b7,,18,13,1.003913,53,,,0,17
004cff5b333f1f92,,19,,0.923081,,,,0,18
004f8942bf2140ae,,15,8,1.035212,16,,,0,19
0056213574662f41,,10,14,0.855996,36,,,0,20
005b287a19bf51c2,,19,11,1.027633,51,,,0,21
005d877f65beacff,docs\documents-atlas-index.md#chunk-309,14,14,1.03213,30,,,0,22
006501fd958b9d97,,19,8,0.915688,183,,,0,23
006535601f442f32,,7,16,0.947125,6,,,0,24
006f14c54a2cbd19,,19,4,0.961243,58,,,0,25
008b374b79d2d44e,,14,12,0.935414,21,,,0,26
008c047432b8fdd4,,19,12,0.928714,127,,,0,27
008d27b749e0742c,,16,14,0.888321,17,,,0,28
00956a83446f98eb,,19,7,0.925394,165,,,0,29
0099365f2954a7c8,docs\documents-atlas-index.md#chunk-252,19,11,0.864264,51,,,0,30
009d83f27333771d,,16,13,0.930988,18,,,0,31
00a337a7c6c8fadc,,9,10,1.041646,1,,,0,32
00a7f26545d7a728,,1,16,0.827452,15,,,0,33
00c2c6e692efd4a1,,19,7,1.144693,165,,,0,34
00c681c077a81a5d,,6,14,0.943133,11,,,0,35
00cab26de4491175,,5,4,0.973204,7,,,0,36
00cadc920830512d,,6,4,0.971498,14,,,0,37
00cd512fb4f9a7be,,6,3,1.096558,10,,,0,38
00d6d263332b5312,,,,0.966186,,,,0,39
00d8acf7823fae83,,,12,0.936021,,,,0,40
00dcd72830a5244f,,7,1,1.038807,11,,,0,41
00de915f0301dacb,,8,17,1.04932,12,,,0,42
00e5d971c47c8ae9,,19,2,0.9713,48,,,0,43
00e841b0b956f18e,,,9,0.858783,,,,0,44
00f4245426617dab,,8,18,0.866042,19,,,0,45
00f9b72594f1e8c1,,,15,1.017046,,,,0,46
00ff4b115be2d0ba,,3,,1.034036,,,,0,47
010d0b2d9524ea21,,15,9,0.946318,23,,,0,48
01173cbc9ea61255,,16,10,1.047859,101,,,0,49
01195c4fd7875b60,docs\documents-atlas-index.md#chunk-1317,6,5,0.879263,10,,,0,50
0129e35b12f3d546,,12,13,0.998818,61,,,0,51
012bdcf41b358b39,,16,1,0.93939,7,,,0,52
012eadc6ea32515f,,12,2,0.951552,3,,,0,53
013d249936c805aa,,17,18,0.904948,20,,,0,54
013f2ecd0be93182,,8,,1.079169,,,,0,55
015d0d46e2512b31,,9,5,0.918053,6,,,0,56
015f759e91f3e398,,19,11,0.92199,51,,,0,57
015fdb847bd4b1fe,,12,,1.013689,,,,0,58
0167f3ca94dc2620,docs\documents-atlas-index.md#chunk-1184,19,5,0.972332,196,,,0,59
0172337b4ed348d6,,12,18,1.002539,17,,,0,60
01894a389e7eff90,,19,4,0.83227,58,,,0,61
018ec061477a0264,,19,3,0.921846,52,,,0,62
018ee3a7166e2539,,19,4,0.894636,58,,,0,63
0192524efece8a97,,19,5,0.993162,196,,,0,64
019a1a18c5a36961,,8,2,0.819004,8,,,0,65
01a390422666396a,,3,19,0.778979,24,,,0,66
01a62b77dc3374be,,2,4,0.877208,4,,,0,67
01a862043c8c156e,,,,0.866649,,,,0,68
01aebc03901a5aaf,docs\documents-atlas-index.md#chunk-354,9,4,1.027301,12,,,0,69
01c20b96e1e377a3,,4,2,0.920543,16,,,0,70
01c469b5c1811b96,,,8,0.786116,,,,0,71
01c6a5605c27e5fc,,1,19,0.864111,95,,,0,72
01cb823b12408bc0,,,3,1.030411,,,,0,73
01d16f576344841f,,3,2,0.842573,5,,,0,74
01e1657967e949c1,,,,0.844167,,,,0,75
01e6b01a790663ca,,9,19,0.824074,70,,,0,76
01f0ae80c775d8da,,5,10,0.907196,5,,,0,77
01f0af8d35f3583f,docs\documents-atlas-index.md#chunk-212,5,,0.955849,,,,0,78
01f58df7c9edcea9,docs\documents-atlas-index.md#chunk-837,10,8,1.040166,27,,,0,79
01f7d6e3e42cede9,,,13,1.063271,,,,0,80
02017f5bee894a7b,,8,4,0.934767,7,,,0,81
020b6f5f39b7233c,,7,,0.961743,,,,0,82
0212cb44df359a58,,13,4,0.853396,3,,,0,83
0214853329b1f651,,18,10,0.895562,57,,,0,84
021b14a2f39ec72e,,19,9,0.947969,88,,,0,85
021ced9efb90d060,,14,5,0.998127,5,,,0,86
021f2c521a230f3a,,9,5,0.945547,6,,,0,87
023025f3514b11ff,,17,15,0.935706,78,,,0,88
023116f7dd2d2791,,19,6,0.845297,170,,,0,89
02318915bf53fc79,docs\documents-atlas-index.md#chunk-315,19,8,0.911515,183,,,0,90
0232b28b94b16a2e,,9,19,0.806888,70,,,0,91
0236a70ae076de62,,9,14,0.974871,22,,,0,92
023a357b64af438a,,16,15,0.990781,43,,,0,93
023ae7c3181a79ff,,19,4,0.973217,58,,,0,94
023f71fd6a387629,,17,10,1.011778,30,,,0,95
024f8973c0da4e20,,17,,0.863366,,,,0,96
02611fa6e5886c23,,10,7,0.890544,12,,,0,97
026319be52caef60,,19,9,1.079058,88,,,0,98
02660f795d104c53,,2,,0.973183,,,,0,99
026f931d5ddb4e15,,19,3,0.972632,52,,,0,100
0270849ffd85b308,,19,8,0.918361,183,,,0,101
0276c4d0906fd014,,19,7,0.91779,165,,,0,102
027b97529e921d16,,12,7,0.90027,7,,,0,103
027d9c66454518f1,docs\documents-atlas-index.md#chunk-1070,14,9,0.91837,11,,,0,104
027f978ee9724521,docs\documents-atlas-index.md#chunk-306,15,9,0.877565,23,,,0,105
029772b692b7d3c4,,19,12,0.853831,127,,,0,106
029c081fcb7c687e,,19,6,0.923027,170,,,0,107
029c99c656679142,,17,11,0.846907,76,,,0,108
02abca46b74f6b1a,,10,4,0.777643,3,,,0,109
02b13f822614c604,,,5,0.717609,,,,0,110
02b25302bb18b930,,,6,0.747974,,,,0,111
02b3dedbacb85f9b,,10,,1.062547,,,,0,112
02bb250e49554089,,3,1,0.891175,14,,,0,113
02bdad5e94d6af6b,,8,5,1.008508,11,,,0,114
02bf23f02b4eca0e,,,15,1.097371,,,,0,115
02c85f601b99752a,,,,0.737704,,,,0,116
02cb8a2cae16bdae,docs\documents-atlas-index.md#chunk-531,5,5,0.952363,11,,,0,117
02cf69b0e9b24066,,8,2,0.956654,8,,,0,118
02cfd0e189b724dc,,,19,1.148936,,,,0,119
02d6d5dac6b75c56,docs\documents-atlas-index.md#chunk-63,7,12,0.994065,1,,,0,120
02db9392f4e32836,,6,3,0.877353,10,,,0,121
02df2d195de7e47d,,3,,0.922277,,,,0,122
02e15aaa64e9547b,,3,1,0.935465,14,,,0,123
02e1bdb43a4d9ec0,,18,3,1.124245,25,,,0,124
02ed82fbdc75c973,docs\documents-atlas-index.md#chunk-1203,,8,0.969253,,,,0,125
02f6e7fb7c0e7451,,,,1.089763,,,,0,126
0300dcfc4d23344d,,9,19,1.029993,70,,,0,127
0308f531c85d5804,docs\documents-atlas-index.md#chunk-796,19,5,0.735746,196,,,0,128
031db91771dd5a02,,18,,0.869931,,,,0,129
032019ce1bf0345c,,14,16,1.026508,13,,,0,130
